"Date","Price","Open","High","Low","Vol.","Change %"
"08/22/2023","2,086.94","2,099.84","2,104.32","2,049.14","14.06K","0.09%"
"08/21/2023","2,084.97","2,108.70","2,114.99","2,084.97","13.20K","-1.60%"
"08/18/2023","2,118.92","2,145.80","2,156.09","2,118.92","12.52K","-1.31%"
"08/17/2023","2,147.06","2,130.54","2,151.23","2,113.30","12.58K","0.66%"
"08/16/2023","2,132.97","2,140.01","2,158.00","2,132.89","12.55K","-0.73%"
"08/15/2023","2,148.67","2,164.82","2,171.56","2,130.38","14.78K","-0.74%"
"08/14/2023","2,164.69","2,163.28","2,170.22","2,140.01","13.67K","-1.02%"
"08/11/2023","2,187.04","2,241.48","2,241.48","2,187.04","15.16K","-2.33%"
"08/10/2023","2,239.31","2,226.91","2,241.85","2,221.08","12.36K","0.47%"
"08/09/2023","2,228.73","2,222.51","2,241.87","2,222.51","12.70K","-0.01%"
"08/08/2023","2,228.91","2,238.66","2,244.90","2,226.40","14.32K","-0.53%"
"08/07/2023","2,240.77","2,252.43","2,256.00","2,234.04","16.38K","-1.00%"
"08/04/2023","2,263.37","2,263.40","2,282.65","2,247.90","2.24B","0.95%"
"08/03/2023","2,241.98","2,214.09","2,242.57","2,214.09","1.55B","1.06%"
"08/02/2023","2,218.57","2,220.77","2,231.87","2,213.04","1.42B","-0.24%"
"08/01/2023","2,223.80","2,234.61","2,249.38","2,215.58","1.56B","-0.58%"
"07/31/2023","2,236.67","2,233.26","2,256.05","2,230.13","2.24B","0.77%"
"07/28/2023","2,219.54","2,176.49","2,224.03","2,172.37","2.06B","1.62%"
"07/27/2023","2,184.10","2,199.48","2,205.72","2,180.69","1.14B","-0.32%"
"07/26/2023","2,191.17","2,185.81","2,194.54","2,180.20","1.26B","-0.08%"
"07/25/2023","2,192.90","2,183.05","2,195.75","2,169.72","1.87B","2.14%"
"07/24/2023","2,146.93","2,148.29","2,167.19","2,142.91","939.56M","-0.75%"
"07/21/2023","2,163.12","2,151.85","2,177.80","2,151.07","1.15B","0.35%"
"07/20/2023","2,155.65","2,180.71","2,199.64","2,153.98","1.11B","-0.99%"
"07/19/2023","2,177.25","2,196.59","2,201.43","2,170.33","898.74M","-1.06%"
"07/18/2023","2,200.62","2,215.05","2,215.25","2,196.23","9.71K","-0.31%"
"07/17/2023","2,207.44","2,212.76","2,214.42","2,198.27","1.08B","-0.75%"
"07/14/2023","2,224.10","2,237.24","2,239.42","2,221.78","1.33B","-0.60%"
"07/13/2023","2,237.51","2,208.22","2,238.67","2,208.22","1.62B","1.85%"
"07/12/2023","2,196.85","2,216.03","2,217.75","2,194.61","1.27B","-0.90%"
"07/11/2023","2,216.78","2,202.93","2,217.66","2,194.17","1.01B","0.81%"
"07/10/2023","2,198.86","2,174.33","2,213.76","2,174.33","1.29B","1.37%"
"07/07/2023","2,169.21","2,185.73","2,186.04","2,169.21","1.14B","-1.05%"
"07/06/2023","2,192.19","2,206.30","2,218.39","2,190.03","1.24B","-0.91%"
"07/05/2023","2,212.42","2,235.20","2,239.93","2,209.11","1.31B","-0.91%"
"07/04/2023","2,232.75","2,222.33","2,234.86","2,215.77","1.57B","0.20%"
"07/03/2023","2,228.21","2,223.33","2,239.43","2,215.36","1.46B","0.60%"
"06/30/2023","2,215.00","2,178.53","2,227.99","2,171.42","1.42B","1.60%"
"06/29/2023","2,180.06","2,178.88","2,194.25","2,178.43","1.28B","-0.09%"
"06/28/2023","2,182.10","2,184.99","2,189.02","2,160.19","1.35B","-0.44%"
"06/27/2023","2,191.83","2,186.16","2,205.56","2,179.32","1.14B","0.26%"
"06/26/2023","2,186.25","2,185.15","2,212.41","2,171.59","1.58B","-1.16%"
"06/21/2023","2,211.84","2,260.50","2,266.76","2,211.84","1.71B","-2.62%"
"06/20/2023","2,271.42","2,264.18","2,277.33","2,257.88","15.83K","0.28%"
"06/19/2023","2,265.18","2,271.76","2,276.56","2,257.64","1.66B","-0.21%"
"06/16/2023","2,270.06","2,243.54","2,272.02","2,234.48","1.78B","1.44%"
"06/15/2023","2,237.74","2,174.54","2,237.74","2,174.54","19.15K","3.44%"
"06/14/2023","2,163.34","2,175.92","2,177.80","2,163.34","1.42B","-0.17%"
"06/13/2023","2,166.96","2,148.40","2,169.66","2,147.56","1.39B","0.68%"
