"Date","Price","Open","High","Low","Vol.","Change %"
"07/12/2023","3,196.13","3,220.38","3,224.33","3,193.44","27.14B","-0.78%"
"07/11/2023","3,221.37","3,211.12","3,221.68","3,200.38","22.76B","0.55%"
"07/10/2023","3,203.70","3,208.73","3,216.53","3,192.66","23.66B","0.22%"
"07/07/2023","3,196.61","3,197.47","3,212.05","3,189.21","25.57B","-0.28%"
"07/06/2023","3,205.57","3,215.86","3,229.48","3,199.72","24.61B","-0.54%"
"07/05/2023","3,222.95","3,240.05","3,241.84","3,218.60","26.40B","-0.69%"
"07/04/2023","3,245.35","3,241.23","3,246.96","3,233.99","27.92B","0.04%"
"07/03/2023","3,243.98","3,209.16","3,246.86","3,209.16","31.24B","1.31%"
"06/30/2023","3,202.06","3,178.92","3,212.99","3,177.99","26.54B","0.62%"
"06/29/2023","3,182.38","3,185.42","3,196.50","3,179.53","25.03B","-0.22%"
"06/28/2023","3,189.38","3,183.49","3,192.66","3,157.12","27.62B","0.00%"
"06/27/2023","3,189.44","3,153.31","3,194.41","3,148.27","28.76B","1.23%"
"06/26/2023","3,150.62","3,177.23","3,181.08","3,144.25","30.81B","-1.48%"
"06/21/2023","3,197.90","3,230.11","3,236.36","3,197.90","29.44B","-1.31%"
"06/20/2023","3,240.36","3,252.54","3,252.84","3,237.79","29.83B","-0.47%"
"06/19/2023","3,255.81","3,271.16","3,271.16","3,251.78","32.78B","-0.54%"
"06/16/2023","3,273.33","3,256.30","3,276.55","3,255.50","32.63B","0.63%"
"06/15/2023","3,252.98","3,230.45","3,252.98","3,229.15","31.33B","0.74%"
"06/14/2023","3,228.99","3,238.12","3,248.46","3,226.77","30.35B","-0.14%"
"06/13/2023","3,233.67","3,223.90","3,235.09","3,215.50","28.06B","0.15%"
"06/12/2023","3,228.83","3,225.30","3,239.44","3,210.71","31.38B","-0.08%"
"06/09/2023","3,231.41","3,213.03","3,231.41","3,206.10","31.42B","0.55%"
"06/08/2023","3,213.59","3,194.83","3,225.53","3,180.54","29.35B","0.49%"
"06/07/2023","3,197.76","3,197.47","3,210.33","3,188.01","25.81B","0.08%"
"06/06/2023","3,195.34","3,228.41","3,247.35","3,189.27","30.83B","-1.15%"
"06/05/2023","3,232.44","3,231.81","3,244.18","3,221.63","27.81B","0.07%"
"06/02/2023","3,230.07","3,212.45","3,233.99","3,211.74","29.47B","0.79%"
"06/01/2023","3,204.63","3,196.15","3,225.09","3,189.52","31.23B","0.00%"
"05/31/2023","3,204.56","3,214.66","3,216.36","3,190.27","29.46B","-0.61%"
"05/30/2023","3,224.21","3,214.67","3,230.63","3,186.63","30.35B","0.09%"
"05/29/2023","3,221.45","3,219.76","3,230.97","3,208.96","29.74B","0.28%"
"05/26/2023","3,212.50","3,198.88","3,220.77","3,179.82","26.17B","0.35%"
"05/25/2023","3,201.26","3,197.36","3,207.02","3,168.57","28.36B","-0.11%"
"05/24/2023","3,204.75","3,237.70","3,237.70","3,204.38","28.87B","-1.28%"
"05/23/2023","3,246.24","3,294.79","3,298.23","3,246.24","27.53B","-1.52%"
"05/22/2023","3,296.47","3,278.60","3,308.53","3,276.54","27.39B","0.39%"
"05/19/2023","3,283.54","3,288.89","3,302.34","3,268.22","28.54B","-0.42%"
"05/18/2023","3,297.32","3,288.41","3,313.86","3,284.17","31.00B","0.40%"
"05/17/2023","3,284.23","3,281.97","3,298.52","3,269.89","28.57B","-0.21%"
"05/16/2023","3,290.99","3,310.16","3,317.90","3,282.49","32.25B","-0.60%"
"05/15/2023","3,310.74","3,269.88","3,310.74","3,235.87","38.80B","1.17%"
"05/12/2023","3,272.36","3,304.46","3,319.13","3,271.43","34.73B","-1.12%"
"05/11/2023","3,309.55","3,323.66","3,333.25","3,307.29","35.43B","-0.29%"
"05/10/2023","3,319.15","3,347.70","3,349.72","3,305.25","45.17B","-1.15%"
"05/09/2023","3,357.67","3,402.39","3,418.95","3,356.12","57.30B","-1.10%"
"05/08/2023","3,395.00","3,340.99","3,400.18","3,340.99","53.41B","1.81%"
"05/05/2023","3,334.50","3,350.65","3,364.14","3,321.19","43.65B","-0.48%"
"05/04/2023","3,350.46","3,306.48","3,352.75","3,302.03","48.34B","0.82%"
"04/28/2023","3,323.27","3,283.12","3,324.88","3,283.12","40.16B","1.14%"
"04/27/2023","3,285.88","3,256.23","3,299.30","3,253.11","34.16B","0.67%"
"04/26/2023","3,264.10","3,255.22","3,277.98","3,239.99","35.79B","-0.02%"
"04/25/2023","3,264.87","3,276.40","3,288.57","3,229.45","38.09B","-0.32%"
"04/24/2023","3,275.41","3,300.81","3,303.09","3,264.93","35.43B","-0.78%"
"04/21/2023","3,301.26","3,364.00","3,367.61","3,301.26","38.74B","-1.95%"
"04/20/2023","3,367.03","3,367.05","3,371.37","3,344.02","35.04B","-0.09%"
"04/19/2023","3,370.13","3,391.35","3,394.96","3,364.64","34.61B","-0.68%"
"04/18/2023","3,393.33","3,379.23","3,396.17","3,375.78","34.84B","0.23%"
"04/17/2023","3,385.61","3,337.06","3,385.61","3,336.39","40.28B","1.42%"
"04/14/2023","3,338.15","3,326.37","3,340.08","3,316.81","33.83B","0.60%"
"04/13/2023","3,318.36","3,321.27","3,334.47","3,309.25","34.79B","-0.27%"
"04/12/2023","3,327.18","3,316.86","3,330.71","3,315.40","34.30B","0.41%"
"04/11/2023","3,313.57","3,317.08","3,317.45","3,298.25","32.06B","-0.05%"
"04/10/2023","3,315.36","3,331.51","3,332.72","3,309.92","34.08B","-0.37%"
"04/07/2023","3,327.65","3,312.48","3,328.85","3,308.06","28.30B","0.45%"
"04/06/2023","3,312.63","3,302.75","3,314.53","3,296.05","32.72B","0.00%"
"04/04/2023","3,312.56","3,297.18","3,312.56","3,290.99","38.59B","0.49%"
"04/03/2023","3,296.40","3,277.34","3,299.73","3,276.42","35.77B","0.72%"
"03/31/2023","3,272.86","3,263.41","3,278.42","3,260.04","28.36B","0.36%"
"03/30/2023","3,261.25","3,243.07","3,263.74","3,220.98","29.99B","0.65%"
"03/29/2023","3,240.06","3,253.62","3,254.56","3,229.58","29.69B","-0.16%"
"03/28/2023","3,245.38","3,256.60","3,264.10","3,241.74","29.57B","-0.19%"
"03/27/2023","3,251.40","3,261.82","3,261.82","3,229.70","33.79B","-0.44%"
"03/24/2023","3,265.65","3,282.74","3,282.74","3,260.84","32.45B","-0.64%"
"03/23/2023","3,286.65","3,258.78","3,286.65","3,252.99","30.61B","0.64%"
"03/22/2023","3,265.75","3,263.41","3,279.39","3,255.74","29.08B","0.31%"
"03/21/2023","3,255.65","3,240.84","3,256.00","3,237.89","30.18B","0.64%"
"03/20/2023","3,234.91","3,253.93","3,267.99","3,231.65","39.25B","-0.48%"
"03/17/2023","3,250.55","3,245.26","3,279.92","3,240.16","34.30B","0.73%"
