"Date","Price","Open","High","Low","Vol.","Change %"
"07/03/2023","11,091.56","11,059.31","11,128.93","11,028.24","13.22B","0.59%"
"06/30/2023","11,026.59","10,897.42","11,067.39","10,883.57","11.25B","1.02%"
"06/29/2023","10,915.50","10,909.08","10,965.11","10,880.88","10.74B","-0.10%"
"06/28/2023","10,926.32","10,947.89","10,951.41","10,792.35","11.01B","-0.47%"
"06/27/2023","10,978.08","10,879.49","10,987.19","10,863.66","10.43B","0.97%"
"06/26/2023","10,872.30","10,963.62","11,002.37","10,848.72","13.29B","-1.68%"
"06/21/2023","11,058.63","11,262.84","11,278.97","11,058.63","12.08B","-2.18%"
"06/20/2023","11,305.35","11,260.15","11,338.15","11,248.14","123.08K","0.28%"
"06/19/2023","11,274.05","11,305.79","11,307.75","11,244.42","13.10B","-0.29%"
"06/16/2023","11,306.53","11,194.55","11,316.24","11,183.79","13.07B","1.11%"
"06/15/2023","11,182.94","11,011.95","11,185.68","11,011.85","134.00K","1.81%"
"06/14/2023","10,984.56","10,976.51","11,034.18","10,962.45","12.69B","0.26%"
"06/13/2023","10,955.96","10,855.44","10,963.65","10,853.57","11.99B","0.76%"
"06/12/2023","10,873.74","10,769.02","10,914.63","10,752.01","12.57B","0.74%"
"06/09/2023","10,793.93","10,733.52","10,793.93","10,697.36","13.46B","0.66%"
"06/08/2023","10,722.87","10,710.91","10,775.33","10,648.14","10.81B","0.13%"
"06/07/2023","10,708.82","10,783.31","10,799.46","10,681.48","9.82B","-0.60%"
"06/06/2023","10,773.45","10,928.51","10,932.83","10,752.22","128.77K","-1.58%"
"06/05/2023","10,946.08","10,990.73","10,990.73","10,903.05","12.09B","-0.47%"
"06/02/2023","10,998.08","10,875.31","11,012.55","10,875.31","130.87K","1.50%"
"06/01/2023","10,835.90","10,758.89","10,913.64","10,735.51","13.63B","0.39%"
"05/31/2023","10,793.85","10,849.81","10,849.81","10,732.42","12.83B","-0.70%"
"05/30/2023","10,869.55","10,799.40","10,869.55","10,697.87","14.02B","0.44%"
"05/29/2023","10,822.09","10,942.67","10,961.79","10,790.50","14.07B","-0.80%"
"05/26/2023","10,909.65","10,889.27","10,926.84","10,798.65","11.19B","0.12%"
"05/25/2023","10,896.58","10,915.12","10,954.24","10,801.22","11.63B","-0.22%"
"05/24/2023","10,920.33","10,976.73","11,028.57","10,920.33","10.76B","-0.84%"
"05/23/2023","11,012.58","11,124.26","11,137.63","11,012.58","10.55B","-1.03%"
"05/22/2023","11,127.04","11,083.38","11,159.31","11,037.21","105.55K","0.32%"
"05/19/2023","11,091.36","11,061.75","11,145.51","11,034.63","11.63B","0.12%"
"05/18/2023","11,078.28","11,108.33","11,144.48","11,024.09","11.80B","-0.12%"
"05/17/2023","11,091.08","11,084.56","11,120.97","11,036.77","9.98B","-0.07%"
"05/16/2023","11,099.26","11,182.36","11,182.36","11,069.44","11.71B","-0.71%"
"05/15/2023","11,178.62","11,019.70","11,178.62","10,995.70","13.93B","1.57%"
"05/12/2023","11,005.64","11,131.30","11,172.71","11,004.26","12.64B","-1.23%"
"05/11/2023","11,142.53","11,158.72","11,200.91","11,136.26","13.09B","0.02%"
"05/10/2023","11,140.19","11,101.01","11,177.81","11,043.36","14.71B","0.14%"
"05/09/2023","11,125.02","11,208.74","11,265.33","11,121.97","19.07B","-0.90%"
"05/08/2023","11,225.77","11,206.33","11,234.92","11,158.83","17.11B","0.40%"
"05/05/2023","11,180.87","11,260.62","11,262.33","11,124.91","16.99B","-0.82%"
"05/04/2023","11,273.87","11,310.35","11,329.00","11,242.12","18.66B","-0.57%"
"04/28/2023","11,338.67","11,228.46","11,340.46","11,228.46","16.18B","1.08%"
"04/27/2023","11,217.00","11,140.89","11,258.76","11,128.11","14.89B","0.28%"
"04/26/2023","11,185.68","11,101.18","11,244.04","11,088.20","15.91B","0.33%"
"04/25/2023","11,149.01","11,307.09","11,320.45","11,034.18","17.33B","-1.48%"
"04/24/2023","11,317.01","11,442.38","11,452.91","11,265.77","15.87B","-1.17%"
"04/21/2023","11,450.43","11,729.80","11,751.42","11,450.13","16.96B","-2.28%"
"04/20/2023","11,717.26","11,751.38","11,751.38","11,659.65","155.48K","-0.37%"
"04/19/2023","11,760.27","11,844.32","11,844.32","11,743.85","14.74B","-0.84%"
"04/18/2023","11,860.40","11,834.77","11,891.11","11,818.25","14.67B","0.04%"
"04/17/2023","11,855.48","11,783.68","11,855.48","11,781.29","15.44B","0.47%"
"04/14/2023","11,800.09","11,760.43","11,816.68","11,737.30","14.73B","0.51%"
"04/13/2023","11,739.84","11,836.82","11,844.40","11,727.89","15.77B","-1.21%"
"04/12/2023","11,883.51","11,873.26","11,912.95","11,842.26","15.91B","0.05%"
"04/11/2023","11,877.15","11,866.35","11,914.32","11,819.76","15.16B","0.04%"
"04/10/2023","11,871.93","11,987.68","11,992.32","11,845.88","15.92B","-0.80%"
"04/07/2023","11,967.74","11,867.87","11,979.59","11,858.50","14.83B","0.85%"
"04/06/2023","11,866.31","11,787.35","11,874.80","11,778.80","16.37B","0.06%"
"04/04/2023","11,859.48","11,878.16","11,885.38","11,792.24","18.27B","-0.25%"
"04/03/2023","11,889.42","11,751.68","11,898.76","11,751.68","18.95B","1.39%"
"03/31/2023","11,726.40","11,666.31","11,737.28","11,657.57","14.38B","0.64%"
"03/30/2023","11,651.83","11,578.33","11,656.48","11,505.55","13.52B","0.62%"
"03/29/2023","11,579.92","11,584.92","11,623.43","11,538.17","13.87B","0.13%"
"03/28/2023","11,564.45","11,637.51","11,649.15","11,548.42","14.68B","-0.72%"
"03/27/2023","11,647.94","11,621.92","11,659.00","11,558.38","16.88B","0.12%"
"03/24/2023","11,634.22","11,616.46","11,648.54","11,581.42","16.22B","0.25%"
"03/23/2023","11,605.29","11,457.79","11,605.29","11,442.95","15.43B","0.94%"
"03/22/2023","11,496.93","11,459.83","11,521.42","11,448.19","15.47B","0.61%"
"03/21/2023","11,427.25","11,270.07","11,427.25","11,270.07","12.55B","1.60%"
"03/20/2023","11,247.13","11,289.96","11,342.03","11,231.01","15.47B","-0.27%"
"03/17/2023","11,278.05","11,328.37","11,388.52","11,245.15","14.70B","0.36%"
"03/16/2023","11,237.70","11,336.75","11,381.73","11,223.10","12.30B","-1.54%"
"03/15/2023","11,413.43","11,485.95","11,537.72","11,408.19","11.18B","-0.03%"
"03/14/2023","11,416.57","11,483.64","11,486.56","11,282.58","129.57K","-0.77%"
"03/13/2023","11,505.02","11,405.14","11,511.12","11,396.61","11.82B","0.55%"
"03/10/2023","11,442.54","11,513.66","11,535.54","11,437.99","10.66B","-1.19%"
"03/09/2023","11,579.99","11,605.94","11,637.03","11,525.23","9.12B","-0.16%"
"03/08/2023","11,598.29","11,566.57","11,617.94","11,534.67","9.63B","-0.09%"
"03/07/2023","11,608.58","11,824.17","11,839.61","11,606.19","13.38B","-1.98%"
"03/06/2023","11,842.88","11,850.82","11,862.37","11,742.13","12.85B","-0.08%"
"03/03/2023","11,851.92","11,862.16","11,895.97","11,770.34","11.56B","0.02%"
"03/02/2023","11,849.51","11,902.17","11,929.15","11,837.12","12.76B","-0.54%"
"03/01/2023","11,914.32","11,783.76","11,931.10","11,751.36","12.76B","1.11%"
"02/28/2023","11,783.80","11,745.16","11,792.68","11,666.37","10.15B","0.70%"
"02/27/2023","11,701.95","11,728.09","11,781.28","11,678.80","9.89B","-0.73%"
"02/24/2023","11,787.45","11,887.77","11,889.24","11,742.73","9.97B","-0.81%"
"02/23/2023","11,884.30","11,895.46","11,963.14","11,829.87","11.47B","-0.13%"
"02/22/2023","11,900.12","11,892.14","11,963.21","11,868.79","11.05B","-0.57%"
"02/21/2023","11,968.60","11,947.65","12,005.00","11,886.24","14.32B","0.12%"
"02/20/2023","11,954.13","11,717.68","11,956.89","11,681.53","15.41B","2.03%"
"02/17/2023","11,715.77","11,894.88","11,927.11","11,713.80","13.24B","-1.61%"
"02/16/2023","11,907.40","12,064.04","12,163.97","11,826.72","18.24B","-1.30%"
"02/15/2023","12,064.38","12,103.72","12,132.80","12,036.23","13.68B","-0.25%"
"02/14/2023","12,094.94","12,142.83","12,143.29","12,035.55","12.69B","-0.15%"
"02/13/2023","12,113.61","11,964.75","12,116.04","11,952.60","14.54B","1.14%"
"02/10/2023","11,976.85","12,031.72","12,062.16","11,917.74","12.71B","-0.59%"
"02/09/2023","12,048.27","11,821.96","12,048.27","11,811.98","12.08B","1.64%"
